video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=TEii7Ry-Q0A&pp=ygUVQW1lcmljYW4gZWxlY3RyaWMgY2Fy,/@automotiveterritory,Automotive Territory: Trending News & Car Reviews,10 American Electric Cars Bringing New Life to Automotive Industry of the USA,17K,2 years,In 2010 Tesla became the first American car company to go public in more than 50 years. Not only did their success skyrocketed ...,2024-01-27 00:18:02.360153
/watch?v=dyea--ufgKM&pp=ygUVQW1lcmljYW4gZWxlY3RyaWMgY2Fy,/@electricviking,The Electric Viking,There are ONLY 5 electric cars you should consider buying in America,23K,9 months,There are ONLY 5 electric cars you should consider buying in America The Electric Viking store/merchandise ...,2024-01-27 00:18:02.362036
/watch?v=fWqduwbKLA8&pp=ygUVQW1lcmljYW4gZWxlY3RyaWMgY2Fy,/@theSUVgeek,the SUV geek,10 Electric Cars that Dealers Can’t Sell !  |  Here is why!,1M,1 month,"The automotive industry is increasingly producing more electric vehicles (EVs) to compete with Tesla. However, a significant ...",2024-01-27 00:18:10.542551
/watch?v=-i0lg_0HF6U&pp=ygUVQW1lcmljYW4gZWxlY3RyaWMgY2Fy,/@ECPP,ExoticCar PlayPlace,Why You Should NOT Buy an Electric Car!,314K,8 months,"There are a lot of reasons to buy an electric car, but there are also many reasons not to. Today I'm going to explain why it's not ...",2024-01-27 00:18:10.552522
/watch?v=gzHLv6rLSpQ&pp=ygUVQW1lcmljYW4gZWxlY3RyaWMgY2Fy,/@SupercarBlondie,Supercar Blondie,World’s Best Selling Electric Car | BYD,713K,11 months,This is the BYD Han EV... it's the best-selling electric vehicle in the world after it surpassed over 1.9 million units in 2022. The BYD ...,2024-01-27 00:18:10.556707
/watch?v=cZlsZwcIgpc&pp=ygUVQW1lcmljYW4gZWxlY3RyaWMgY2Fy,/@CNBC,CNBC,Why EVs Are Piling Up At Dealerships In The U.S.,4.2M,3 months,"In August 2023, it took about twice as long to sell an EV in the U.S. as it did the previous January. Prices of EVs are down 22% ...",2024-01-27 00:18:10.564752
/watch?v=V8hlC5av7tA&pp=ygUVQW1lcmljYW4gZWxlY3RyaWMgY2Fy,/@whatsupusa,What's up - USA,Cheapest Electric Car 2023 - 2024 | Most Affordable & Least Expensive EV (SUV and Cars) in US,39K,8 months,"In 2023, car buyers looking for the least expensive or cheapest cars and SUVs have some great options in the electric vehicle ...",2024-01-27 00:18:10.568915
/watch?v=1Yqrxw5YzXs&pp=ygUVQW1lcmljYW4gZWxlY3RyaWMgY2Fy,/@innovativetechs3044,Innovative Techs,The Cheapest Electric Car In The USA,53K,1 year,"With each passing year, electric vehicles are gaining more popularity and attention. After all, the problem of air pollution in the city ...",2024-01-27 00:18:10.571193
/watch?v=3X-ZNJgf8b4&pp=ygUVQW1lcmljYW4gZWxlY3RyaWMgY2Fy,/@EforElectric,E for Electric,All NEW Electric Cars & Trucks Coming in 2024,41K,2 weeks,Here's the answer: https://youtu.be/HrLS4m_o2Ow?t=688 Electric Car Apparel & Merchandise from E for Electric: ...,2024-01-27 00:18:10.573653
/watch?v=Ut7dYDCldrg&pp=ygUVQW1lcmljYW4gZWxlY3RyaWMgY2Fy,/@EforElectric,E for Electric,15 Electric Cars TESLA Can't Beat,78K,5 months,"Check out 15 electric cars that can beat Tesla. Some in range, some in charging speed and some in many other electric car ...",2024-01-27 00:18:10.587862
/watch?v=DU75KAonHGE&pp=ygUVQW1lcmljYW4gZWxlY3RyaWMgY2Fy,/@NewsmaxTV,Newsmax,Americans are not excited about buying electric vehicles | REPORT,15K,1 year,"Despite what Pete Buttigieg says, some Americans aren't excited about purchasing an expensive electric vehicle. Correspondent ...",2024-01-27 00:18:10.590405
/watch?v=Z3s8_HYjHCY&pp=ygUVQW1lcmljYW4gZWxlY3RyaWMgY2Fy,/@KOCO,KOCO 5 News,Oklahoma electric vehicle maker Canoo to sell 6 cars to USPS,430,1 day,Oklahoma electric vehicle maker Canoo to sell 6 cars to USPS Subscribe to KOCO on YouTube now for more: http://bit.ly/1lGfjIl ...,2024-01-27 00:18:10.592356
/watch?v=mjIbZu3CLJ8&pp=ygUVQW1lcmljYW4gZWxlY3RyaWMgY2Fy,/@TrendMaxTV,Trend Max,TOP 10 BEST ELECTRIC SUV CARS  (2022 - 2023),269K,1 year,"What's the best electric SUV car? Well, to answer this question we've compiled a list of the 10 best electric SUV cars on the market ...",2024-01-27 00:18:10.594471
/watch?v=4sU-8jSdMZA&pp=ygUVQW1lcmljYW4gZWxlY3RyaWMgY2Fy,/@MichaelBordenaro,Michael Bordenaro,Dealer Lots PILING UP! Americans SAYING NO TO ELECTRIC CARS,63K,2 days,Americans' interest in owning an electric car has actually been in decline over the past few years now that more of the problems ...,2024-01-27 00:18:10.607114
/watch?v=AWUQ9lrWb4w&pp=ygUVQW1lcmljYW4gZWxlY3RyaWMgY2Fy,/@FoxNews,Fox News,Why Americans are losing interest in electric vehicles,133K,2 weeks,Energy expert Jason Isaac joins 'Fox & Friends Weekend' to explain why a survey found declining interest in electric vehicles ...,2024-01-27 00:18:10.609116
/shorts/Qw071UZMWHg,/@IllinoisChannelTV,IllinoisChannelTV,US Senate Hears of Problems with Electric Vehicles,2M,9 months,"In the US Senate Environmental Cmte, a trucking association member shares his knowledge of the problem with pushing electric ...",2024-01-27 00:18:10.610964
/watch?v=D37ef8X5LGs&pp=ygUVQW1lcmljYW4gZWxlY3RyaWMgY2Fy,/@theroadsterofficial,The Roadster,25 AMAZING ELECTRIC CARS LAUNCH IN USA 2024,96K,8 months,There are more new electric cars 2024 has in store for us than we can imagine! Remember when electric cars were as exciting as ...,2024-01-27 00:18:10.613116
/watch?v=ZzNXu9qi3dw&pp=ygUVQW1lcmljYW4gZWxlY3RyaWMgY2Fy,/@TheMacMaster,The MacMaster,His First EVer time DRIVING an ELECTRIC CAR - He was SHOCKED! Test drive at an American Dealership.,36K,8 days,The MacMaster is in New York and his good Friend is thinking of trading in his Gas Guzzling SUV for a Jaguar All Electric Car EV.,2024-01-27 00:18:10.622366
/watch?v=0_HGDD5JBes&pp=ygUVQW1lcmljYW4gZWxlY3RyaWMgY2Fy,/@edmundscars,Edmunds Cars,"Edmunds Top Rated 2024 | The Best Cars, Trucks and SUVs for 2024",44K,2 days,Edmunds Top Rated 2024 award winners: https://edmu.in/3aZS8t9 00:00 Intro 01:23 Top Rated Car 03:02 Top Rated Electric Car ...,2024-01-27 00:18:10.625353
